v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,groupedcategory,household,q1,q2_1,q2_2,q2_3,q2_4,q3,q4,q5,q6,q7,q8,q9,q10,q11_1,q12
R_332VoxyRHUZUFwM,Default Response Set,Anonymous,,,142,0,2018-05-01 10:54:40,2018-05-01 10:55:09,1,top,unpacked,,,,,,1,,,1,,washing and folding laundry,1,2,33,
R_3fHp7BiSmKLPODm,Default Response Set,Anonymous,,,46,0,2018-05-01 10:54:33,2018-05-01 10:55:18,1,bottom,packed,,,,,,1,,1,,,vacuuming,1,1,22,
R_3mlZK6pXarxE7et,Default Response Set,Anonymous,,,163,0,2018-05-01 10:54:56,2018-05-01 10:55:26,1,bottom,unpacked,,,,,,1,1,,,,laundry,1,2,20,none 
R_Xu0BE8DnUEYGxsB,Default Response Set,Anonymous,,,54,0,2018-05-01 10:54:24,2018-05-01 10:55:38,1,top,packed,,,,,,1,,,,1,KITCHEN CLEANING,1,1,43,
R_egNGkRI9s1BMM5X,Default Response Set,Anonymous,,,156,0,2018-05-01 10:54:44,2018-05-01 10:55:41,1,top,packed,,,,,,1,,,,1,mowing a lawn,1,1,35,none
R_3HiX94QGLvnWfZN,Default Response Set,Anonymous,,,79,0,2018-05-01 10:55:23,2018-05-01 10:55:46,1,bottom,unpacked,,,,,,1,1,,,,washing and folding laundry,1,2,24,
R_AI0qQjZBiWDplDP,Default Response Set,Anonymous,,,15,0,2018-05-01 10:55:22,2018-05-01 10:55:59,1,bottom,packed,,,,,,1,,1,,,mowing lawn,1,2,64,No
R_1JXv193SHUs4whf,Default Response Set,Anonymous,,,160,0,2018-05-01 10:55:54,2018-05-01 10:56:16,1,top,packed,,,,,,1,,,,1,kitchen cleaning,1,1,28,
R_1GPKAakJPsUOn1D,Default Response Set,Anonymous,,,89,0,2018-05-01 10:55:57,2018-05-01 10:56:36,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,2,22,
R_1PTe9YiKGckdjvd,Default Response Set,Anonymous,,,68,0,2018-05-01 10:56:35,2018-05-01 10:57:02,1,top,unpacked,,,,,,1,,,1,,washing and folding laundry,1,2,20,
R_1gcKIkCI1nkeVDR,Default Response Set,Anonymous,,,150,0,2018-05-01 10:56:54,2018-05-01 10:57:15,1,top,packed,,,,,,1,,,,1,Mowing a lawn,1,1,22,
R_1eV6AbVH0ePgjvG,Default Response Set,Anonymous,,,144,0,2018-05-01 10:56:57,2018-05-01 10:57:37,1,top,packed,,,,,,1,,,,1,vacuuming ,1,1,28,
R_RrGqVN6fHIGobYd,Default Response Set,Anonymous,,,171,0,2018-05-01 10:56:59,2018-05-01 10:57:40,1,bottom,packed,,,,,,1,,1,,,indoor chore,1,2,56,no
R_2rIqcdfYzSAMPqB,Default Response Set,Anonymous,,,179,0,2018-05-01 10:57:33,2018-05-01 10:58:03,1,top,packed,,,,,,1,,,,1,vacuuming,1,2,22,
R_yPeOPBvVL5KhNHX,Default Response Set,Anonymous,,,16,0,2018-05-01 10:57:31,2018-05-01 10:58:09,1,top,packed,,,,,,1,,,,1,vacuuming,1,1,65,no
R_3OdFW51trirDHE8,Default Response Set,Anonymous,,,181,0,2018-05-01 10:57:23,2018-05-01 10:58:15,1,top,packed,,,,,,1,,,,1,mowing a lawn,1,1,31,
R_1g1nWwFkvNbH4rV,Default Response Set,Anonymous,,,98,0,2018-05-01 10:57:50,2018-05-01 10:58:21,1,bottom,packed,,,,,,1,,1,,,mowing a lawn,1,1,35,None
R_1pxtMfkBPOFJc1J,Default Response Set,Anonymous,,,176,0,2018-05-01 10:58:32,2018-05-01 10:59:08,1,top,packed,,,,,,1,,,,1,kitchen cleaning,1,2,42,n/a
R_3kcwIMeZQZPkToH,Default Response Set,Anonymous,,,50,0,2018-05-01 10:58:38,2018-05-01 10:59:21,1,bottom,packed,,,,,,1,,1,,,pulling weeds,1,2,26,none
R_2CEu6RuxpOL70B0,Default Response Set,Anonymous,,,132,0,2018-05-01 10:54:29,2018-05-01 10:59:42,1,bottom,packed,,,,,,1,,1,,,pulling weeds,1,1,23,
R_2XiVKlg7anYIqUq,Default Response Set,Anonymous,,,108,0,2018-05-01 10:58:23,2018-05-01 11:00:03,1,top,packed,,,,,,1,,,,1,Indoor chore,1,1,47,
R_1F8TxIBFSQyHBNX,Default Response Set,Anonymous,,,22,0,2018-05-01 11:00:05,2018-05-01 11:00:27,1,bottom,unpacked,,,,,,1,1,,,,washing and folding laundry,1,1,33,NONE
R_2VmgGfoyGOBDyfV,Default Response Set,Anonymous,,,7,0,2018-05-01 11:00:19,2018-05-01 11:00:41,1,bottom,unpacked,,,,,,1,1,,,,laundry,1,2,35,
R_D0NbVyfVrLIrRSN,Default Response Set,Anonymous,,,146,0,2018-05-01 11:00:09,2018-05-01 11:01:27,1,bottom,unpacked,,,,,,1,1,,,,washing and folding laundry,1,1,27,None.
R_1i3wzfnE6WxQZ06,Default Response Set,Anonymous,,,157,0,2018-05-01 11:00:46,2018-05-01 11:01:37,1,top,unpacked,,,,,,1,,,1,,Kitchen cleaning,1,1,33,
R_3jZnpAt0tr3EYFl,Default Response Set,Anonymous,,,145,0,2018-05-01 10:50:18,2018-05-01 11:01:51,1,top,unpacked,,,,,,1,,,1,,kitchen cleaning ,1,2,27,no
R_1hW2D7QgkDC1dud,Default Response Set,Anonymous,,,109,0,2018-05-01 11:01:42,2018-05-01 11:02:05,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,1,22,
R_3jVRGDH2Cn02kOX,Default Response Set,Anonymous,,,63,0,2018-05-01 11:01:28,2018-05-01 11:02:12,1,top,unpacked,,,,,,1,,,1,,mowing the lawn,1,2,29,
R_UxyGS8WONyioECJ,Default Response Set,Anonymous,,,122,0,2018-05-01 11:02:21,2018-05-01 11:03:33,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,1,24,
R_Zq4jgr2Qybt4UvL,Default Response Set,Anonymous,,,199,0,2018-05-01 11:02:58,2018-05-01 11:03:49,1,bottom,unpacked,,,,,,1,1,,,,outdoor chore,1,1,60,No.
R_BWGjoEnufgLpWmZ,Default Response Set,Anonymous,,,155,0,2018-05-01 11:03:46,2018-05-01 11:04:04,1,bottom,packed,,,,,,1,,1,,,pulling weeds,1,2,24,
R_AiciKYpuhICikqR,Default Response Set,Anonymous,,,184,0,2018-05-01 11:03:44,2018-05-01 11:04:08,1,top,packed,,,,,,1,,,,1,kitchen cleaning,1,2,27,
R_1DZsJRC1vBd1UDX,Default Response Set,Anonymous,,,113,0,2018-05-01 11:03:57,2018-05-01 11:04:27,1,top,packed,,,,,,1,,,,1,indoor chore,1,2,33,
R_2wFDDH2a6G46dIr,Default Response Set,Anonymous,,,112,0,2018-05-01 11:03:56,2018-05-01 11:05:01,1,bottom,unpacked,,,,,,1,1,,,,an outdoor chore ,1,1,23,
R_2YFdyqNwBNRJ5sx,Default Response Set,Anonymous,,,30,0,2018-05-01 11:04:40,2018-05-01 11:05:04,1,top,unpacked,,,,,,1,,,1,,kitchen cleaning,1,1,25,
R_3RxYj2caaVx8uBc,Default Response Set,Anonymous,,,149,0,2018-05-01 10:49:16,2018-05-01 11:05:11,1,top,packed,,,,,,1,,,,1,indoor chore,1,1,31,
R_scjkONKtM6vP0Cl,Default Response Set,Anonymous,,,198,0,2018-05-01 11:04:32,2018-05-01 11:05:32,1,bottom,unpacked,,,,,,1,1,,,,an outdoor chore: pulling weeds,1,2,29,
R_AM1xvSfzdV2TT21,Default Response Set,Anonymous,,,139,0,2018-05-01 11:04:26,2018-05-01 11:05:39,1,bottom,unpacked,,,,,,1,1,,,,washing and folding laundry,1,2,25,
R_20Yub2l59vqoVBF,Default Response Set,Anonymous,,,141,0,2018-05-01 11:05:30,2018-05-01 11:05:51,1,bottom,unpacked,,,,,,1,1,,,,an outdoor chore,1,1,25,
R_wL8L5xiAe5Bwrfz,Default Response Set,Anonymous,,,20,0,2018-05-01 11:05:29,2018-05-01 11:05:57,1,bottom,packed,,,,,,1,,1,,,mowing the lawn,1,2,34,
R_21haEqMtGzP8hRp,Default Response Set,Anonymous,,,173,0,2018-05-01 11:05:21,2018-05-01 11:06:01,1,top,unpacked,,,,,,1,,,1,,pulling weeds ,1,2,36,
R_2CZY5Md76ObvW1l,Default Response Set,Anonymous,,,21,0,2018-05-01 11:06:44,2018-05-01 11:07:13,1,bottom,packed,,,,,,1,,1,,,vacuuming,1,1,41,thank you
R_UEZti8pbpr67Vgl,Default Response Set,Anonymous,,,67,0,2018-05-01 11:06:37,2018-05-01 11:07:20,1,top,unpacked,,,,,,1,,,1,,kitchen cleaning,1,2,27,
R_21aiGCI7WhtMqHZ,Default Response Set,Anonymous,,,6,0,2018-05-01 11:06:04,2018-05-01 11:07:39,1,top,packed,,,,,,1,,,,1,washing and folding laundry,1,2,43,
R_DFUK980GwuTCJxL,Default Response Set,Anonymous,,,180,0,2018-05-01 11:06:58,2018-05-01 11:07:46,1,bottom,unpacked,,,,,,1,1,,,,mowing the lawn,1,1,36,
R_2uJ5QvVPMgYHFSa,Default Response Set,Anonymous,,,75,0,2018-05-01 11:07:29,2018-05-01 11:08:04,1,top,unpacked,,,,,,1,,,1,,pulling weeds,1,2,57,
R_27g7wct7ou6Cjo1,Default Response Set,Anonymous,,,11,0,2018-05-01 11:08:42,2018-05-01 11:09:20,1,bottom,packed,,,,,,1,,1,,,mowing a lawn,1,1,30,nice
R_3I5I1xUeKXL0Yp8,Default Response Set,Anonymous,,,177,0,2018-05-01 11:07:16,2018-05-01 11:09:45,1,top,unpacked,,,,,,1,,,1,,vacuuming,1,2,30,no
R_1GZlQIOPOcDQQOs,Default Response Set,Anonymous,,,187,0,2018-05-01 11:09:35,2018-05-01 11:10:30,1,bottom,unpacked,,,,,,1,1,,,,washing and folding laundry,1,2,24, 
R_2s7rIuaVYGve7dA,Default Response Set,Anonymous,,,126,0,2018-05-01 11:11:17,2018-05-01 11:11:47,1,top,unpacked,,,,,,1,,,1,,Vacuuming,1,1,27,
R_z6hxw6rcnr6qr4d,Default Response Set,Anonymous,,,161,0,2018-05-01 11:11:14,2018-05-01 11:11:59,1,bottom,unpacked,,,,,,1,1,,,,kitchen cleaning,1,1,35,thanks for the survey!
R_bpEm9JSJc2OQDx7,Default Response Set,Anonymous,,,143,0,2018-05-01 11:08:21,2018-05-01 11:12:10,1,top,packed,,,,,,1,,,,1,folding laundry,1,2,36,None.
R_2dGbJCK9MjCgrPu,Default Response Set,Anonymous,,,190,0,2018-05-01 11:11:53,2018-05-01 11:12:09,1,top,unpacked,,,,,,1,,,1,,10000,1,1,35,I enjoyed taking this survey.
R_2ttF0lNgllYYX0K,Default Response Set,Anonymous,,,193,0,2018-05-01 11:12:51,2018-05-01 11:13:14,1,bottom,packed,,,,,,1,,1,,,"an indoor chore: your choice of kitchen cleaning, vacuuming, or washing and folding laundr",1,2,36,
R_1o0XJbf9g5KCnnA,Default Response Set,Anonymous,,,53,0,2018-05-01 11:13:27,2018-05-01 11:13:56,1,top,unpacked,,,,,,1,,,1,,washing and folding laundry,1,1,35,
R_1ovvXLyPhvqeMFm,Default Response Set,Anonymous,,,140,0,2018-05-01 11:13:32,2018-05-01 11:17:35,1,top,unpacked,,,,,,1,,,1,,washing and folding laundry,1,2,47,
R_sSCrjF8cYN2kY8x,Default Response Set,Anonymous,,,175,0,2018-05-01 11:16:42,2018-05-01 11:17:38,1,bottom,packed,,,,,,1,,1,,,Mowing a lawn,1,1,28,
R_DBK339mCzNyNwf7,Default Response Set,Anonymous,,,31,0,2018-05-01 11:17:15,2018-05-01 11:17:53,1,bottom,unpacked,,,,,,1,1,,,,Outdoor Chore,1,2,31,
R_3dEvNrGYfshM8eB,Default Response Set,Anonymous,,,197,0,2018-05-01 11:17:29,2018-05-01 11:18:05,1,bottom,packed,,,,,,1,,1,,,vacuuming,1,2,30,None
R_3D58qvGeRWln53b,Default Response Set,Anonymous,,,117,0,2018-05-01 11:18:36,2018-05-01 11:19:36,1,top,packed,,,,,,1,,,,1,kitchen cleaning,1,1,31,
R_Uswkxp5qO2QB8Nb,Default Response Set,Anonymous,,,114,0,2018-05-01 11:20:11,2018-05-01 11:20:40,1,bottom,unpacked,,,,,,1,1,,,,mowing lawn,1,1,22,
R_2cAb7bUnByenB1o,Default Response Set,Anonymous,,,147,0,2018-05-01 11:22:32,2018-05-01 11:23:18,1,top,unpacked,,,,,,1,,,1,,Mowing a lawn,1,1,55,
R_2E9Nuxi4aSwJOph,Default Response Set,Anonymous,,,168,0,2018-05-01 11:25:49,2018-05-01 11:26:28,1,top,unpacked,,,,,,1,,,1,,mowing,1,2,23,
R_suPPFnoqTDSdC3T,Default Response Set,Anonymous,,,101,0,2018-05-01 11:26:29,2018-05-01 11:26:54,1,bottom,packed,,,,,,1,,1,,,Mowing the lawn,1,1,28,
R_OBHcwLqrDQavOpz,Default Response Set,Anonymous,,,189,0,2018-05-01 11:26:27,2018-05-01 11:27:14,1,top,packed,,,,,,1,,,,1,an indoor chore,1,2,29,thanks for the survey.
R_2TMD0KwB1idStVY,Default Response Set,Anonymous,,,17,0,2018-05-01 11:28:19,2018-05-01 11:28:43,1,bottom,packed,,,,,,1,,1,,,folding laundry,1,1,28,
R_3papk4RYrkpDZF7,Default Response Set,Anonymous,,,169,0,2018-05-01 11:54:16,2018-05-01 11:55:03,1,top,unpacked,,,,,,1,,,1,,washing and folding laundry,1,1,32,
R_3CJUgSk0tSqrZO8,Default Response Set,Anonymous,,,1,0,2018-05-01 12:03:28,2018-05-01 12:04:41,1,bottom,unpacked,,,,,,1,1,,,,laundry,1,2,30,
