v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,groupedcategory,order,europe,westcoast,cookies,sportingevent,q55,q59,q2,q4,q5,q6,q3,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q60,q28,q28_1,q28_2,q28_3,q28_4,q29,q29_1,q29_2,q29_3,q29_4,q30,q31_1,q31_2,q31_3,q31_4,q31,q11_1,q11_2,q11_3,q11_4,q37,q34_1,q34_2,q34_3,q34_4,q38,q35_1,q35_2,q35_3,q35_4,q39,q36_1,q36_2,q36_3,q36_4,q40,q37_1,q37_2,q37_3,q37_4,q46,q43_1,q43_2,q43_3,q43_4,q47,q44_1,q44_2,q44_3,q44_4,q48,q45_1,q45_2,q45_3,q45_4,q49,q46_1,q46_2,q46_3,q46_4,v100,q50_1,q50_2,q50_3,q50_4,q56,q51_1,q51_2,q51_3,q51_4,q57,q52_1,q52_2,q52_3,q52_4,q58,q53_1,q53_2,q53_3,q53_4,q61,v121,q59_1,q63,filter
R_a8FKCEUyp4RZtv7,Default Response Set,Anonymous,,,99,0,8/5/13 12:58,8/5/13 13:04,1,top,inference first,packed,unpacked,packed,unpacked,1,1,,,,1,china,,,1,,Musical,,,1,,san francisco,,,,1,chocolate ice cream cone,1,,,,,,,,,,,,,,,,1,35,25,20,20,,,,,,,,,,,1,10,30,30,30,,,,,,,,,,,,,,,,1,35,35,10,20,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,1,2,46,,
R_ahkIEZUm2Ne8FXT,Default Response Set,Anonymous,,,41,0,8/5/13 13:23,8/5/13 13:31,1,bottom,inference first,unpacked,packed,packed,packed,1,1,1,,,,Italy,,1,,,Theater,,1,,,Boston,,1,,,Vanilla ice cream cone,1,1,25,15,30,30,,,,,,,,,,,,,,,,,,,,,1,25,30,15,30,,,,,,,,,,,,,,,,1,15,15,45,25,,,,,,,,,,,,,,,,1,50,15,5,30,,,,,,,,,,,1,2,66,no comments,
R_aacMYfoBwGq2xs9,Default Response Set,Anonymous,,,64,0,8/5/13 13:36,8/5/13 13:38,1,top,choice first,unpacked,unpacked,unpacked,unpacked,1,1,,,1,,Italy,,,1,,NFL game,,,1,,San Francisco,,,1,,Oatmeal Raisin cookie,1,,,,,,,,,,,1,15,35,25,25,,,,,,,,,,,,,,,,1,25,20,20,35,,,,,,,,,,,,,,,,1,50,10,20,20,,,,,,,,,,,,,,,,1,50,25,20,5,,,,,,1,1,29,,
R_24Ur7Sbj56QsiDb,Default Response Set,Anonymous,,,116,0,8/5/13 13:52,8/5/13 13:55,1,bottom,inference first,packed,packed,packed,packed,1,1,,1,,,France,,1,,,NFL,,1,,,San Francisco,,1,,,Peanut Butter,1,,,,,,1,15,30,15,40,,,,,,,,,,,,,,,,1,5,15,15,65,,,,,,,,,,,,,,,,1,10,10,35,45,,,,,,,,,,,,,,,,1,20,25,30,25,,,,,,,,,,,1,1,22,N/A,
R_eP81UCjf5R7mlkp,Default Response Set,Anonymous,,,90,0,8/5/13 13:53,8/5/13 13:55,1,top,choice first,unpacked,packed,packed,packed,1,1,,,1,,Japan,,,,1,Theater,,,,1,Philadelphia,,,,1,Chocolate Chip Cookie,1,,,,,,,,,,,1,25,25,20,30,,,,,,,,,,,,,,,,,,,,,1,30,20,40,10,,,,,,,,,,,,,,,,1,25,25,20,30,,,,,,,,,,,,,,,,1,40,20,20,20,1,2,21,N/A,
R_b9jyQHMOQAKXMfX,Default Response Set,Anonymous,,,81,0,8/5/13 13:53,8/5/13 13:56,1,bottom,inference first,unpacked,unpacked,unpacked,unpacked,1,1,1,,,,France,1,,,,NFL game,1,,,,Seattle,1,,,,Chocolate Chip Cookie,1,1,2,3,5,90,,,,,,,,,,,,,,,,1,0,0,0,100,,,,,,,,,,,,,,,,1,3,1,1,95,,,,,,,,,,,,,,,,1,50,10,15,25,,,,,,,,,,,,,,,,1,2,19,,
R_bf3WaAarYDNLmPX,Default Response Set,Anonymous,,,34,0,8/5/13 13:54,8/5/13 13:56,1,top,choice first,packed,packed,packed,packed,1,1,,,,1,Germany,,,,1,NFL,,,,1,Philadelphia,,,,1,Chocolate Chip,1,,,,,,,,,,,,,,,,1,75,0,25,0,,,,,,,,,,,,,,,,1,80,10,10,0,,,,,,,,,,,,,,,,1,70,10,15,5,,,,,,,,,,,,,,,,1,75,15,10,0,1,1,23,"Was interesting, thank you.",
R_9BSOSF7EHqEFpgF,Default Response Set,Anonymous,,,22,0,8/5/13 13:54,8/5/13 13:57,1,bottom,inference first,packed,unpacked,unpacked,unpacked,1,1,,1,,,France,1,,,,MLB game,1,,,,San Francisco,1,,,,peanut butter cookie,1,,,,,,1,5,25,10,60,,,,,,,,,,,1,50,20,20,10,,,,,,,,,,,,,,,,1,50,15,10,25,,,,,,,,,,,,,,,,1,15,60,15,10,,,,,,,,,,,,,,,,1,1,30,,
R_43h0QzU4sUSrohv,Default Response Set,Anonymous,,,95,0,8/5/13 13:54,8/5/13 13:57,1,top,inference first,packed,packed,unpacked,packed,1,1,,,,1,France,,,,1,NFL,,,,1,Seattle,,,1,,Chocolate Chip cookie,1,,,,,,,,,,,,,,,,1,65,15,15,5,,,,,,,,,,,,,,,,1,75,10,10,5,,,,,,,,,,,,,,,,1,33,25,10,32,,,,,,,,,,,1,34,33,33,0,,,,,,1,1,29,,
R_bNoLtVwswDLOMkd,Default Response Set,Anonymous,,,46,0,8/5/13 13:55,8/5/13 13:57,1,bottom,choice first,unpacked,unpacked,packed,unpacked,1,1,1,,,,italy,1,,,,nba game,1,,,,portland,,1,,,strawberry ice cream cone,1,1,40,10,20,30,,,,,,,,,,,,,,,,1,50,20,20,10,,,,,,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,,,,,,,,,,,1,30,20,20,30,,,,,,,,,,,1,1,22,,
R_4H1sDuHuPV3K86N,Default Response Set,Anonymous,,,74,0,8/5/13 13:55,8/5/13 13:58,1,top,choice first,unpacked,packed,packed,packed,1,1,,,1,,France,,,,1,NFL,,,,1,Boston,,,,1,Vanilla ice cream cone,1,,,,,,,,,,,1,10,20,20,50,,,,,,,,,,,,,,,,,,,,,1,55,15,15,15,,,,,,,,,,,,,,,,1,25,25,20,30,,,,,,,,,,,,,,,,1,20,20,50,10,1,1,21,,
R_8fihWZF0YEMMoSN,Default Response Set,Anonymous,,,36,0,8/5/13 13:55,8/5/13 13:58,1,top,inference first,unpacked,packed,unpacked,packed,1,1,,,1,,Japan,,,,1,NBA,,,,1,Boston,,,1,,Vanilla,1,,,,,,,,,,,1,75,10,5,10,,,,,,,,,,,,,,,,,,,,,1,80,5,5,10,,,,,,,,,,,,,,,,1,50,20,10,20,,,,,,,,,,,1,55,20,20,5,,,,,,1,1,23,,
R_6nW8G2VP1GrIbxH,Default Response Set,Anonymous,,,133,0,8/5/13 13:55,8/5/13 13:59,1,top,inference first,packed,packed,packed,unpacked,1,1,,,,1,Italy,,,1,,NBA game,,,,1,Washington D.C.,,,,1,Chocolate ice cream cone,1,,,,,,,,,,,,,,,,1,60,5,30,5,,,,,,,,,,,1,0,30,70,0,,,,,,,,,,,,,,,,,,,,,1,10,30,20,40,,,,,,,,,,,,,,,,1,20,40,20,20,1,1,24,,
R_3Oeuh6q3aOoR7ed,Default Response Set,Anonymous,,,93,0,8/5/13 13:55,8/5/13 13:59,1,bottom,choice first,packed,unpacked,unpacked,packed,1,1,,1,,,Germany,,1,,,Musical,1,,,,Portland,1,,,,Oatmeal Raisin cookie,1,,,,,,1,20,20,10,50,,,,,,,,,,,,,,,,1,10,20,20,50,,,,,,,,,,,1,40,10,10,40,,,,,,,,,,,,,,,,1,25,25,10,40,,,,,,,,,,,,,,,,1,2,47,,
R_6iqdsXrJzAC3zPT,Default Response Set,Anonymous,,,7,0,8/5/13 13:57,8/5/13 13:59,1,top,choice first,unpacked,unpacked,unpacked,unpacked,1,1,,,1,,Japan,,,1,,Musical,,,1,,San Francisco,,,1,,Chocolate chip cookie,1,,,,,,,,,,,1,10,40,10,40,,,,,,,,,,,,,,,,1,10,40,40,10,,,,,,,,,,,,,,,,1,20,50,20,10,,,,,,,,,,,,,,,,1,25,25,25,25,,,,,,1,1,20,,
R_7Um89qCbF9x7u4Z,Default Response Set,Anonymous,,,48,0,8/5/13 13:57,8/5/13 13:59,1,top,choice first,packed,unpacked,unpacked,unpacked,1,1,,,,1,Italy,,,1,,NFL game,,,1,,San Francisco,,,1,,Peanut Butter cookie,1,,,,,,,,,,,,,,,,1,75,10,10,5,,,,,,,,,,,1,20,60,15,5,,,,,,,,,,,,,,,,1,50,30,10,10,,,,,,,,,,,,,,,,1,30,30,30,10,,,,,,1,1,23,,
R_3xD8n6D8l94O4hD,Default Response Set,Anonymous,,,23,0,8/5/13 13:57,8/5/13 13:59,1,bottom,inference first,unpacked,unpacked,packed,packed,1,1,1,,,,Japan,,1,,,NBA game,1,,,,Boston,,1,,,strawberry ice cream cone,1,1,25,30,20,25,,,,,,,,,,,,,,,,,,,,,1,10,60,15,15,,,,,,,,,,,1,30,10,10,50,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,1,1,22,,
R_0P8SXxSQXIzbgnX,Default Response Set,Anonymous,,,30,0,8/5/13 13:57,8/5/13 14:00,1,top,choice first,packed,packed,unpacked,unpacked,1,1,,,,1,Germany,,,1,,NBA game,,,,1,Seattle,,,1,,Chocolate Chip cookie,1,,,,,,,,,,,,,,,,1,65,5,29,1,,,,,,,,,,,1,5,40,40,15,,,,,,,,,,,,,,,,,,,,,1,60,10,5,25,,,,,,,,,,,1,12,50,30,8,,,,,,1,1,21,,
R_1WVtHvKWoOl5lVr,Default Response Set,Anonymous,,,60,0,8/5/13 13:58,8/5/13 14:00,1,top,choice first,packed,unpacked,unpacked,packed,1,1,,,,1,Japan,,,,1,Theater,,,1,,Boston,,,1,,Peanut Butter cookie,1,,,,,,,,,,,,,,,,1,7,2,90,1,,,,,,,,,,,,,,,,1,5,5,70,20,,,,,,,,,,,1,60,10,20,10,,,,,,,,,,,,,,,,1,30,20,40,10,,,,,,1,1,21,,
R_0IcDWFjKj9Ghn0h,Default Response Set,Anonymous,,,142,0,8/5/13 13:55,8/5/13 14:01,1,bottom,inference first,packed,packed,packed,unpacked,1,1,,1,,,Japan,1,,,,NFL game,,1,,,Boston,,1,,,Chocolate ice cream cone,1,,,,,,1,40,60,-99,-99,,,,,,,,,,,1,40,0,0,60,,,,,,,,,,,,,,,,,,,,,1,60,10,0,30,,,,,,,,,,,,,,,,1,60,0,0,40,,,,,,,,,,,1,2,21,,
R_8qN1PtJm9dY0S3P,Default Response Set,Anonymous,,,103,0,8/5/13 13:58,8/5/13 14:01,1,top,inference first,packed,unpacked,packed,packed,1,1,,,,1,Italy,,,,1,theater,,,1,,Boston,,,,1,vanilla ice cream cone,1,,,,,,,,,,,,,,,,1,80,5,10,5,,,,,,,,,,,,,,,,1,90,2,2,6,,,,,,,,,,,1,40,30,20,10,,,,,,,,,,,,,,,,,,,,,1,20,20,50,10,1,1,57,,
R_24cQIF26pf1aDe5,Default Response Set,Anonymous,,,126,0,8/5/13 13:58,8/5/13 14:01,1,bottom,choice first,unpacked,packed,unpacked,unpacked,1,1,1,,,,Japan,1,,,,Opera,,1,,,Washington D.C.,1,,,,chocolate chip cookie,1,1,20,5,65,10,,,,,,,,,,,,,,,,1,45,30,20,5,,,,,,,,,,,,,,,,,,,,,1,10,25,60,5,,,,,,,,,,,1,60,10,15,15,,,,,,,,,,,,,,,,1,1,18,,
R_4UD2FjRD5jgQhJX,Default Response Set,Anonymous,,,38,0,8/5/13 13:59,8/5/13 14:02,1,top,choice first,packed,packed,unpacked,unpacked,1,1,,,,1,Japan,,,1,,NFL game,,,,1,Washington D.C.,,,1,,Chocolate Chip cookie,1,,,,,,,,,,,,,,,,1,30,30,30,10,,,,,,,,,,,1,10,60,10,20,,,,,,,,,,,,,,,,,,,,,1,40,10,10,40,,,,,,,,,,,1,40,30,20,10,,,,,,1,1,26,,
R_7VQq5JRwgz41HQ9,Default Response Set,Anonymous,,,69,0,8/5/13 13:59,8/5/13 14:03,1,bottom,inference first,unpacked,unpacked,unpacked,unpacked,1,1,1,,,,Germany,1,,,,nfl game,1,,,,San Francisco,1,,,,Chocolate Chip cookie,1,1,10,20,40,30,,,,,,,,,,,,,,,,1,50,20,30,0,,,,,,,,,,,,,,,,1,50,20,10,20,,,,,,,,,,,,,,,,1,50,30,10,10,,,,,,,,,,,,,,,,1,1,21,,
R_bkkFNjlFx98c9dr,Default Response Set,Anonymous,,,98,0,8/5/13 13:56,8/5/13 14:03,1,top,choice first,unpacked,unpacked,unpacked,packed,1,1,,,1,,Germany,,,,1,Theater,,,1,,Boston,,,1,,Peanut Butter cookie,1,,,,,,,,,,,1,30,30,20,20,,,,,,,,,,,,,,,,,,,,,1,25,10,50,15,,,,,,,,,,,1,50,20,10,20,,,,,,,,,,,,,,,,1,30,40,20,10,,,,,,1,1,20,,
R_cuueiDrsfwzmScB,Default Response Set,Anonymous,,,33,0,8/5/13 14:01,8/5/13 14:04,1,bottom,inference first,packed,unpacked,unpacked,unpacked,1,1,,1,,,France,1,,,,MLB game,1,,,,Washington D.C.,1,,,,Peanut Butter cookie,1,,,,,,1,0,25,0,75,,,,,,,,,,,1,0,0,100,0,,,,,,,,,,,,,,,,1,40,10,10,40,,,,,,,,,,,,,,,,1,0,80,0,20,,,,,,,,,,,,,,,,1,1,27,,
R_78tb00ztoGfPttj,Default Response Set,Anonymous,,,111,0,8/5/13 14:00,8/5/13 14:04,1,top,choice first,packed,packed,unpacked,packed,1,1,,,,1,Germany,,,,1,Musical,,,,1,Seattle,,,1,,Chocolate Chip cookie,1,,,,,,,,,,,,,,,,1,50,10,30,10,,,,,,,,,,,,,,,,1,85,5,5,5,,,,,,,,,,,,,,,,1,20,5,5,70,,,,,,,,,,,1,50,25,15,10,,,,,,1,1,31,,
R_4VdCZbXXgkZGPR3,Default Response Set,Anonymous,,,100,0,8/5/13 13:59,8/5/13 14:04,1,bottom,inference first,unpacked,unpacked,packed,packed,1,1,1,,,,Italy,,1,,,Opera,1,,,,San Francisco,,1,,,Strawberry ice cream cone,1,1,40,10,50,0,,,,,,,,,,,,,,,,,,,,,1,30,40,20,10,,,,,,,,,,,1,90,0,0,10,,,,,,,,,,,,,,,,,,,,,1,0,0,100,0,,,,,,,,,,,1,2,28,,
R_b15IRXwXslAGG6V,Default Response Set,Anonymous,,,148,0,8/5/13 13:58,8/5/13 14:05,1,top,inference first,unpacked,packed,packed,unpacked,1,1,,,1,,Italy,,,1,,MLB Game,,,,1,San Francisco,,,,1,Vanilla ice cream cone,1,,,,,,,,,,,1,20,40,10,30,,,,,,,,,,,,,,,,1,20,20,10,50,,,,,,,,,,,,,,,,,,,,,1,50,10,10,30,,,,,,,,,,,,,,,,1,20,20,55,5,1,1,25,,
R_8AZypHpmOS0Menr,Default Response Set,Anonymous,,,82,0,8/5/13 13:58,8/5/13 14:05,1,bottom,choice first,packed,unpacked,unpacked,packed,1,1,,1,,,Japan,,1,,,Musical,1,,,,San Francisco,1,,,,Vanilla Ice cream cone,1,,,,,,1,10,30,10,50,,,,,,,,,,,,,,,,1,20,30,30,20,,,,,,,,,,,1,20,5,5,70,,,,,,,,,,,,,,,,1,40,20,5,35,,,,,,,,,,,,,,,,1,1,28,"Choosing D using the ""correct spelling"" is difficult",1
R_0J5WTcmRddBMbRP,Default Response Set,Anonymous,,,104,0,8/5/13 14:02,8/5/13 14:06,1,top,choice first,unpacked,unpacked,packed,packed,1,1,,,1,,Italy,,,,1,Musical,,,1,,San Francisco,,,,1,Strawberry ice cream cone,1,,,,,,,,,,,1,10,40,10,40,,,,,,,,,,,,,,,,,,,,,1,50,10,20,20,,,,,,,,,,,1,20,60,10,10,,,,,,,,,,,,,,,,,,,,,1,30,20,30,20,1,2,18,,
R_9tAFvXfP8HQfqV7,Default Response Set,Anonymous,,,8,0,8/5/13 14:00,8/5/13 14:06,1,bottom,inference first,unpacked,unpacked,unpacked,unpacked,1,1,1,,,,Italy,1,,,,NFL game,1,,,,San Francisco,1,,,,Peanut Butter cookie,1,1,30,20,30,20,,,,,,,,,,,,,,,,1,20,20,20,40,,,,,,,,,,,,,,,,1,30,20,20,30,,,,,,,,,,,,,,,,1,30,20,10,40,,,,,,,,,,,,,,,,1,2,32,,
R_0Bwgs1UXOIe5JSB,Default Response Set,Anonymous,,,54,0,8/5/13 14:01,8/5/13 14:06,1,top,choice first,packed,packed,packed,packed,1,1,,,,1,Germany,,,,1,Theater,,,,1,Seattle,,,,1,Oatmeal Raisin Cookie,1,,,,,,,,,,,,,,,,1,50,20,25,5,,,,,,,,,,,,,,,,1,60,10,20,10,,,,,,,,,,,,,,,,1,65,10,10,15,,,,,,,,,,,,,,,,1,30,30,30,10,1,1,21,,
R_byCGy7d9ex6vtGZ,Default Response Set,Anonymous,,,113,0,8/5/13 13:59,8/5/13 14:06,1,bottom,inference first,packed,unpacked,packed,unpacked,1,1,,1,,,Japan,1,,,,Theater,1,,,,Seattle,,1,,,Chocolate ice cream cone,1,,,,,,1,15,35,5,45,,,,,,,,,,,1,25,20,20,35,,,,,,,,,,,,,,,,1,30,10,25,35,,,,,,,,,,,,,,,,,,,,,1,30,20,20,30,,,,,,,,,,,1,1,35,"Some of the questions required write-in answers when they could have been a menu or ""radio"" selection buttons.",
R_5dsXOSy5GUtzwsB,Default Response Set,Anonymous,,,129,0,8/5/13 14:02,8/5/13 14:07,1,bottom,inference first,unpacked,packed,unpacked,unpacked,1,1,1,,,,Germany,1,,,,NFL game,,1,,,Portland,1,,,,Peanut Butter cookie,1,1,30,15,35,20,,,,,,,,,,,,,,,,1,40,20,20,20,,,,,,,,,,,,,,,,,,,,,1,15,10,15,60,,,,,,,,,,,1,40,15,5,40,,,,,,,,,,,,,,,,1,1,30,,
R_ctEPpFJwopnDSG9,Default Response Set,Anonymous,,,88,0,8/5/13 13:57,8/5/13 14:07,1,bottom,inference first,unpacked,packed,packed,packed,1,1,1,,,,Japan,,1,,,Theater,,1,,,Boston,,1,,,Oatmeal Raisin,1,1,50,15,20,15,,,,,,,,,,,,,,,,,,,,,1,5,15,5,75,,,,,,,,,,,,,,,,1,40,20,10,30,,,,,,,,,,,,,,,,1,20,10,10,60,,,,,,,,,,,1,1,26,"The survey was easy to follow, thanks!",
R_8HQZHqpHkVb6HHL,Default Response Set,Anonymous,,,67,0,8/5/13 14:04,8/5/13 14:08,1,top,choice first,packed,packed,unpacked,unpacked,1,1,,,,1,France,,,1,,NFL game,,,,1,Portland,,,1,,Chocolate Chip cookie,1,,,,,,,,,,,,,,,,1,95,2,2,1,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,,,,,,,,,,,1,75,10,5,10,,,,,,,,,,,1,35,45,10,10,,,,,,1,1,21,,
R_8dAMkp96rN2Brh3,Default Response Set,Anonymous,,,52,0,8/5/13 14:06,8/5/13 14:09,1,top,choice first,unpacked,unpacked,packed,unpacked,1,1,,,1,,japan,,,1,,Opera,,,1,,San Francisco,,,,1,Vanilla,1,,,,,,,,,,,1,90,3,2,5,,,,,,,,,,,,,,,,1,90,2,3,5,,,,,,,,,,,,,,,,1,90,3,2,5,,,,,,,,,,,,,,,,,,,,,1,90,3,2,5,1,1,28,n\o,
R_dpcS8TNWsZCGemF,Default Response Set,Anonymous,,,135,0,8/5/13 14:06,8/5/13 14:10,1,top,inference first,packed,packed,unpacked,unpacked,1,1,,,,1,Japan,,,1,,Musical,,,,1,Washington D.C.,,,1,,Oatmeal Raisin cookie,1,,,,,,,,,,,,,,,,1,40,15,35,10,,,,,,,,,,,1,15,35,30,20,,,,,,,,,,,,,,,,,,,,,1,40,15,15,30,,,,,,,,,,,1,30,35,20,15,,,,,,1,1,27,,
R_d6I1M29OWXOsK0d,Default Response Set,Anonymous,,,43,0,8/5/13 14:08,8/5/13 14:10,1,top,choice first,packed,packed,unpacked,unpacked,1,1,,,,1,Italy,,,1,,Theater,,,,1,Portland,,,1,,Chocolate ice cream cone,1,,,,,,,,,,,,,,,,1,60,10,20,10,,,,,,,,,,,1,10,40,30,20,,,,,,,,,,,,,,,,,,,,,1,30,40,10,20,,,,,,,,,,,1,30,40,20,10,,,,,,1,1,24,,
R_e3vIlaP9OdcBZ0V,Default Response Set,Anonymous,,,87,0,8/5/13 14:08,8/5/13 14:10,1,bottom,inference first,packed,unpacked,packed,packed,1,1,,1,,,China,,1,,,Opera,1,,,,San Francisco,,1,,,Chocolate ice cream cone,1,,,,,,1,20,30,10,40,,,,,,,,,,,,,,,,1,10,10,10,70,,,,,,,,,,,1,80,5,5,10,,,,,,,,,,,,,,,,,,,,,1,20,20,20,40,,,,,,,,,,,1,1,21,,
R_aY7Irw0nKotjLdb,Default Response Set,Anonymous,,,13,0,8/5/13 14:07,8/5/13 14:10,1,top,choice first,unpacked,packed,unpacked,unpacked,1,1,,,1,,Japan,,,1,,Theater,,,,1,Washington D.C.,,,1,,chocolate chip cookie,1,,,,,,,,,,,1,15,30,25,30,,,,,,,,,,,,,,,,1,20,40,20,20,,,,,,,,,,,,,,,,,,,,,1,30,20,15,35,,,,,,,,,,,1,35,35,15,15,,,,,,1,1,31,,
R_9XfJis9Ra6rAl01,Default Response Set,Anonymous,,,59,0,8/5/13 14:06,8/5/13 14:10,1,bottom,choice first,packed,unpacked,packed,packed,1,1,,1,,,Japan,,1,,,Theater,1,,,,Seattle,,1,,,Chocolate ice cream cone,1,,,,,,1,10,35,5,50,,,,,,,,,,,,,,,,1,5,10,10,75,,,,,,,,,,,1,30,15,15,40,,,,,,,,,,,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,1,1,28,None!,
R_5cF6du9WXY9s70p,Default Response Set,Anonymous,,,49,0,8/5/13 14:08,8/5/13 14:11,1,top,choice first,unpacked,packed,packed,packed,1,1,,,1,,japan,,,,1,theater,,,,1,Seattle,,,,1,Strawberry ice cream cone,1,,,,,,,,,,,1,50,20,10,20,,,,,,,,,,,,,,,,,,,,,1,50,10,30,10,,,,,,,,,,,,,,,,1,60,20,10,10,,,,,,,,,,,,,,,,1,30,10,30,30,1,1,19,,
R_9MuhUB6KPodkmIR,Default Response Set,Anonymous,,,35,0,8/5/13 14:00,8/5/13 14:12,1,top,choice first,unpacked,packed,packed,packed,1,1,,,1,,Germany,,,,1,Theater,,,,1,Portland,,,,1,Chocolate Chip Cookie,1,,,,,,,,,,,1,30,25,20,25,,,,,,,,,,,,,,,,,,,,,1,70,5,15,10,,,,,,,,,,,,,,,,1,49,17,17,17,,,,,,,,,,,,,,,,1,60,15,12,13,1,1,42,No.,
R_3OjcnBdO8uznJ77,Default Response Set,Anonymous,,,139,0,8/5/13 14:10,8/5/13 14:12,1,top,inference first,unpacked,unpacked,packed,packed,1,1,,,1,,China,,,,1,NBA,,,1,,Boston,,,,1,Oatmeal Raisin,1,,,,,,,,,,,1,40,30,20,10,,,,,,,,,,,,,,,,,,,,,1,70,5,10,15,,,,,,,,,,,1,60,30,5,5,,,,,,,,,,,,,,,,,,,,,1,40,30,20,10,1,2,41,,
R_79A1Jabd12VXiaV,Default Response Set,Anonymous,,,57,0,8/5/13 14:09,8/5/13 14:12,1,top,inference first,unpacked,packed,packed,packed,1,1,,,1,,Japan,,,,1,NFL,,,,1,Seattle,,,,1,Strawberry ice cream cone,1,,,,,,,,,,,1,85,5,5,5,,,,,,,,,,,,,,,,,,,,,1,100,0,0,0,,,,,,,,,,,,,,,,1,50,25,15,10,,,,,,,,,,,,,,,,1,10,10,10,70,1,1,31,,
R_1HAbbgM9avw3Iqx,Default Response Set,Anonymous,,,18,0,8/5/13 14:11,8/5/13 14:12,1,bottom,choice first,packed,packed,unpacked,unpacked,1,1,,1,,,france,1,,,,Theater,,1,,,San Francisco,1,,,,chocolate ice cream,1,,,,,,1,10,20,10,60,,,,,,,,,,,1,30,10,40,20,,,,,,,,,,,,,,,,,,,,,1,5,20,40,35,,,,,,,,,,,1,10,10,10,70,,,,,,,,,,,,,,,,1,1,26,,
R_0qwl7cgTmbdOkoB,Default Response Set,Anonymous,,,110,0,8/5/13 14:10,8/5/13 14:12,1,top,choice first,packed,packed,packed,unpacked,1,1,,,,1,Japan,,,1,,MLB game,,,,1,Seattle,,,,1,oatmeal raisin,1,,,,,,,,,,,,,,,,1,60,10,20,10,,,,,,,,,,,1,10,50,5,35,,,,,,,,,,,,,,,,,,,,,1,50,25,15,10,,,,,,,,,,,,,,,,1,25,30,25,20,1,1,25,,
R_9QPN7ToEkZd8FPT,Default Response Set,Anonymous,,,12,0,8/5/13 14:04,8/5/13 14:13,1,bottom,inference first,packed,unpacked,packed,packed,1,1,,1,,,CHINA,,1,,,OPERA,1,,,,SEATTLE,,1,,,STRAWBERRY ICE CREAM CONE,1,,,,,,1,10,15,10,65,,,,,,,,,,,,,,,,1,1,9,10,80,,,,,,,,,,,1,35,5,15,45,,,,,,,,,,,,,,,,,,,,,1,15,10,5,70,,,,,,,,,,,1,1,42,,
R_9GrzOnMDfYu2JEN,Default Response Set,Anonymous,,,96,0,8/5/13 14:08,8/5/13 14:13,1,bottom,inference first,unpacked,unpacked,packed,packed,1,1,1,,,,Japan,,1,,,NFL,1,,,,San Francisco,,1,,,Strawberry ice cream cone,1,1,10,5,5,80,,,,,,,,,,,,,,,,,,,,,1,10,20,30,40,,,,,,,,,,,1,75,15,10,0,,,,,,,,,,,,,,,,,,,,,1,15,20,50,15,,,,,,,,,,,1,1,29,,
R_0GkXhWiKTc8e1wh,Default Response Set,Anonymous,,,16,0,8/5/13 14:10,8/5/13 14:14,1,bottom,choice first,unpacked,packed,unpacked,unpacked,1,1,1,,,,Japan,1,,,,Musical,,1,,,Boston,1,,,,Peanut Butter cookie,1,1,0,0,0,100,,,,,,,,,,,,,,,,1,0,0,0,100,,,,,,,,,,,,,,,,,,,,,1,50,0,25,25,,,,,,,,,,,1,25,50,25,0,,,,,,,,,,,,,,,,1,2,28,,
R_8f6hyHuMzSLKQo5,Default Response Set,Anonymous,,,26,0,8/5/13 14:05,8/5/13 14:14,1,bottom,inference first,unpacked,packed,unpacked,packed,1,1,1,,,,Japan,,1,,,Theater,,1,,,Philadelphia,1,,,,Chocolate Chip cookie,1,1,10,15,25,50,,,,,,,,,,,,,,,,,,,,,1,5,5,5,85,,,,,,,,,,,,,,,,1,25,15,10,50,,,,,,,,,,,1,50,25,5,20,,,,,,,,,,,,,,,,1,2,24,None! Awesome survey.,
R_1ABfK2XhYHT8qa1,Default Response Set,Anonymous,,,10,0,8/5/13 14:09,8/5/13 14:14,1,bottom,choice first,packed,unpacked,unpacked,unpacked,1,1,,1,,,China,1,,,,NFL game,1,,,,San Francisco,1,,,,Vanilla Ice cream cone,1,,,,,,1,13,13,13,61,,,,,,,,,,,1,30,25,30,15,,,,,,,,,,,,,,,,1,20,20,20,40,,,,,,,,,,,,,,,,1,20,20,20,40,,,,,,,,,,,,,,,,1,1,26,,
R_em6V2WltIDxPQSF,Default Response Set,Anonymous,,,145,0,8/5/13 14:11,8/5/13 14:15,1,top,inference first,unpacked,unpacked,packed,packed,1,1,,,1,,France,,,,1,NBA game,,,1,,Portland,,,,1,Vanilla ice cream cone,1,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,,,,,,,,,,,1,70,10,10,10,,,,,,,,,,,1,25,25,25,25,,,,,,,,,,,,,,,,,,,,,1,25,20,30,25,1,1,19,,
