v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,estimation,europe,groupedcategory,westcoast,cookies,sportingevent,q55,q61,q63,q65,v21,q67_1,q67_2,q67_3,q67_4,q67,q83_1,q83_2,q8,q9,q10,q11,q12,q84_1,q84_2,q18,q19,q20,q21,q22,q85_1,q85_2,q13,q14,q15,q16,q17,q86_1,q86_2,q2,q4,q5,q6,q3,v55,q57,q59_1,v58,filter
R_0q6ZJQFe4FtYUTz,Default Response Set,Anonymous,,,119,0,11/14/13 11:07,11/14/13 11:12,1,before,unpacked,bottom,packed,packed,packed,1,1,4,7,,,,,,1,70,30,,1,,,Theater,50,50,,1,,,Vanilla ice cream cone,60,40,,1,,,Washington D.C.,75,25,1,,,,Italy,1,1,28,,
R_e5n8VPvDQmZXcSF,Default Response Set,Anonymous,,,3,0,11/14/13 11:10,11/14/13 11:13,1,after,unpacked,top,packed,packed,unpacked,1,1,4,7,,,,,,1,0,100,,,1,,Theater,30,70,,,,1,Strawberry ice cream cone,80,20,,,,1,Portland,40,60,,,1,,Japan,1,1,24,,
R_cYIywdbdnYCIInz,Default Response Set,Anonymous,,,117,0,11/14/13 11:08,11/14/13 11:13,1,after,unpacked,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,70,30,,1,,,Musical,40,60,,1,,,Chocolate ice cream cone,50,50,1,,,,Seattle,60,40,1,,,,Italy,1,2,26,,
R_a636jyyA2ItPjrn,Default Response Set,Anonymous,,,188,0,11/14/13 11:11,11/14/13 11:14,1,after,unpacked,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,40,60,,1,,,Musical,80,20,1,,,,Peanut Butter cookie,60,40,1,,,,Seattle,75,25,1,,,,Italy,1,2,29,,
R_0wViSRSRNLsNqaV,Default Response Set,Anonymous,,,256,0,11/14/13 11:09,11/14/13 11:14,1,before,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,0,100,,,1,,Musical,50,50,,,,1,Chocolate Ice cream cone,100,0,,,1,,San Francisco,50,50,,,1,,Italy,1,2,22,,
R_9AlFYE6eRfvIgRv,Default Response Set,Anonymous,,,279,0,11/14/13 11:11,11/14/13 11:14,1,after,unpacked,top,packed,packed,packed,1,1,4,7,,,,,,1,65,35,,,,1,nfl game,50,50,,,,1,Chocolate ice cream cone,20,80,,,,1,Seattle,85,15,,,1,,Japan,1,1,26,,
R_6RVCvbyfpo1goip,Default Response Set,Anonymous,,,92,0,11/14/13 11:12,11/14/13 11:14,1,after,packed,bottom,packed,unpacked,packed,1,1,4,7,,,,,,1,70,30,,1,,,musical,100,0,1,,,,Oatmeal Raisin cookie,40,60,,1,,,Boston,80,20,,1,,,Japan,1,2,24,,
R_1ACrn2gZZuIy65D,Default Response Set,Anonymous,,,255,0,11/14/13 11:09,11/14/13 11:15,1,before,packed,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,50,50,,1,,,NBA,50,50,1,,,,Chocolate ice cream cone,50,50,1,,,,Washington D.C.,50,50,,1,,,Japan,1,1,22,N/A,
R_1BwrpkZSWv34PDT,Default Response Set,Anonymous,,,284,0,11/14/13 11:12,11/14/13 11:15,1,before,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,70,30,,,1,,NFL game,40,60,,,,1,Chocolate Chip,50,50,,,1,,San Francisco,60,40,,,1,,France,1,2,35,,
R_3aYCiMoKVphG3SB,Default Response Set,Anonymous,,,217,0,11/14/13 11:10,11/14/13 11:15,1,before,packed,bottom,packed,packed,unpacked,1,1,4,7,,,,,,1,65,35,1,,,,NFL game,50,50,,1,,,Strawberry ice cream cone,55,45,,1,,,San Francisco,55,45,,1,,,France,1,2,27,No,
R_39SCANEQzG6jJhb,Default Response Set,Anonymous,,,94,0,11/14/13 11:12,11/14/13 11:15,1,before,unpacked,bottom,packed,unpacked,unpacked,1,1,4,7,,,,,,1,100,0,1,,,,NBA game,30,70,1,,,,Vanilla Ice cream cone,100,0,,1,,,Seattle,0,100,1,,,,Japan,1,1,35,,
R_1LK4gRp72hevtEV,Default Response Set,Anonymous,,,44,0,11/14/13 11:13,11/14/13 11:15,1,before,packed,bottom,packed,packed,unpacked,1,1,4,7,,,,,,1,80,20,1,,,,NFl game,40,60,,1,,,Vanilla Ice Cream Cone,75,25,,1,,,San Francisco,75,25,,1,,,Japan,1,1,23,n/a,
R_1BPs634Lnd9h5L7,Default Response Set,Anonymous,,,231,0,11/14/13 11:11,11/14/13 11:15,1,before,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,NFL game,50,50,,,,1,Chocolate ice cream cone,70,30,,,,1,Seattle,80,20,,,,1,Japan,1,1,59,"none, thank you",
R_3BOnZsa8prPqJdb,Default Response Set,Anonymous,,,68,0,11/14/13 11:10,11/14/13 11:15,1,after,unpacked,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,40,60,,,,1,Theater,30,70,,,1,,Strawberry ice cream cone,50,50,,,1,,Portland,80,20,,,1,,France,1,2,23,"I had some difficulty getting past the question that required choosing between ice cream and cookie options.  The answer had to be typed in in  a very specific way (eventually 'Strawberry ice cream cone' worked), but I could not progress despite trying ice cream cone, A., ice cream cone (strawberry), or removing all the spaces just in case it registered a written space as another item.  The directions weren't clear as to how that had to be typed to progress.",
R_3r38o2wgztkHImp,Default Response Set,Anonymous,,,288,0,11/14/13 11:11,11/14/13 11:16,1,before,unpacked,top,packed,packed,packed,1,1,4,7,,,,,,1,60,40,,,,1,Theater,50,50,,,,1,chocolate ice cream cone,50,50,,,,1,Washington D.C.,75,25,,,1,,Italy,1,2,28,,
R_6nTVWIoGGLCW9s9,Default Response Set,Anonymous,,,64,0,11/14/13 11:11,11/14/13 11:16,1,before,packed,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,80,20,1,,,,Theater,40,60,1,,,,Chocolate Chip cookie,70,30,1,,,,Seattle,70,30,,1,,,Japan,1,1,31,,
R_9QqCW0nctEkBmeh,Default Response Set,Anonymous,,,105,0,11/14/13 11:13,11/14/13 11:16,1,after,packed,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,40,60,,1,,,Theater,25,75,,1,,,Vanilla ice cream cone,50,50,1,,,,Portland,50,50,,1,,,Germany,1,1,20,,
R_5jP6ggpPLsCuK9f,Default Response Set,Anonymous,,,266,0,11/14/13 11:13,11/14/13 11:18,1,after,unpacked,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,40,60,,,,1,Opera,50,50,,,1,,Chocolate Chip cookie,60,40,,,1,,San Francisco,75,25,,,1,,Germany,1,1,36,good straight forward survey,
R_1Fb97TnYmOSWjkN,Default Response Set,Anonymous,,,161,0,11/14/13 11:16,11/14/13 11:18,1,before,unpacked,bottom,packed,unpacked,unpacked,1,1,4,7,,,,,,1,70,30,1,,,,NFL game,65,35,1,,,,Chocolate Chip cookie,55,45,,1,,,Boston,85,15,1,,,,France,1,1,28,Thanks!,
R_065MgZ9y92RuxOB,Default Response Set,Anonymous,,,140,0,11/14/13 11:13,11/14/13 11:18,1,before,unpacked,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,40,60,,,1,,Musical,40,60,,,1,,Oatmeal Raisin cookie,50,50,,,,1,Washington D.C.,60,40,,,1,,Italy,1,1,25,No,
R_1Sr5HwQQRSkyKbj,Default Response Set,Anonymous,,,241,0,11/14/13 11:15,11/14/13 11:18,1,before,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,50,50,,,1,,NFL game,30,70,,,,1,Chocolate ice cream cone,50,50,,,1,,San Francisco,70,30,,,1,,France,1,2,25,,
R_cAzZvvhRpIvj0zj,Default Response Set,Anonymous,,,291,0,11/14/13 11:15,11/14/13 11:18,1,after,unpacked,top,packed,unpacked,packed,1,1,4,7,,,,,,1,65,35,,,,1,Theater,60,40,,,1,,Peanut Butter Cookie,50,50,,,,1,San Francisco,60,40,,,1,,France,1,2,36,no,
R_0OLKoZhe2NKqSZn,Default Response Set,Anonymous,,,32,0,11/14/13 11:15,11/14/13 11:18,1,before,packed,bottom,unpacked,packed,unpacked,1,1,4,7,,,,,,1,70,30,1,,,,MLB game,20,80,,1,,,Chocolate ice cream cone,50,50,1,,,,San Francisco,60,40,,1,,,France,1,2,21,,
R_72slBEFtiGlvkA5,Default Response Set,Anonymous,,,263,0,11/14/13 11:15,11/14/13 11:19,1,after,packed,bottom,packed,unpacked,packed,1,1,4,7,,,,,,1,65,35,,1,,,NFL game,50,50,1,,,,Peanut Butter cookie,60,40,,1,,,San Francisco,70,30,,1,,,Italy,1,1,39,no,
R_ah15kaUkBCwg2FL,Default Response Set,Anonymous,,,337,0,11/14/13 11:12,11/14/13 11:19,1,before,unpacked,bottom,unpacked,packed,unpacked,1,1,4,7,,,,,,1,85,15,1,,,,NBA game,45,55,,1,,,Chocolate ice cream cone,90,10,1,,,,Portland,85,15,1,,,,France,1,1,40,,
R_3dt0QnDkuZF3N8p,Default Response Set,Anonymous,,,163,0,11/14/13 11:15,11/14/13 11:19,1,after,unpacked,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,75,25,,1,,,Musical,50,50,,1,,,Chocolate ice cream cone,50,50,1,,,,San Francisco,80,20,1,,,,France,1,1,29,,
R_0HDgbo8XL8NJr3n,Default Response Set,Anonymous,,,312,0,11/14/13 11:17,11/14/13 11:19,1,after,packed,top,unpacked,packed,packed,1,1,4,7,,,,,,1,50,50,,,,1,nba game,60,40,,,,1,chocolate chip cookie,50,50,,,1,,san francisco,70,30,,,,1,France,1,1,29,,
R_3PnSP5Tv7PlBovX,Default Response Set,Anonymous,,,189,0,11/14/13 11:18,11/14/13 11:20,1,after,packed,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,75,25,,1,,,NFL,80,20,1,,,,Chocolate Chip Cookie,40,60,1,,,,Seattle,61,39,,1,,,Japan,1,1,23,,
R_3TPaqlwkdiMNZbf,Default Response Set,Anonymous,,,164,0,11/14/13 11:18,11/14/13 11:21,1,after,packed,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,70,30,,1,,,NFL,50,50,,1,,,Vanilla ice cream cone,60,40,1,,,,San Francisco,80,20,,1,,,France,1,1,19,:),
R_9M0PdOAhkSmyF1P,Default Response Set,Anonymous,,,315,0,11/14/13 11:18,11/14/13 11:21,1,before,unpacked,top,packed,packed,unpacked,1,1,4,7,,,,,,1,100,0,,,1,,NFL game,60,40,,,,1,Chocolate Chip,70,30,,,,1,Philadelphia,50,50,,,1,,germany,1,2,23,,
R_3DXx2T4CjWjt9C5,Default Response Set,Anonymous,,,108,0,11/14/13 11:19,11/14/13 11:21,1,before,unpacked,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,0,100,,,1,,Theater,50,50,,,1,,chocolate chip cookie,100,,,,,1,San francisco,50,50,,,1,,Japan,1,1,24,,
R_033q6sQwWrzGNql,Default Response Set,Anonymous,,,339,0,11/14/13 11:17,11/14/13 11:21,1,before,unpacked,top,unpacked,packed,packed,1,1,4,7,,,,,,1,70,30,,,,1,Theater,40,60,,,,1,Chocolate chip cookie,60,40,,,1,,San Francisco,90,10,,,1,,Japan,1,2,22,No,
R_71h6jXdiOaiWYzH,Default Response Set,Anonymous,,,290,0,11/14/13 11:13,11/14/13 11:21,1,before,unpacked,bottom,unpacked,packed,unpacked,1,1,4,7,,,,,,1,80,20,1,,,,Opera,50,50,,1,,,Peanut Butter,80,20,1,,,,Seattle,50,50,1,,,,Japan,1,1,24,,
R_ekroRzc0JehAXbv,Default Response Set,Anonymous,,,62,0,11/14/13 11:17,11/14/13 11:22,1,after,packed,bottom,packed,unpacked,unpacked,1,1,4,7,,,,,,1,80,20,1,,,,Theater,30,70,1,,,,Chocolate Chip cookie,60,40,,1,,,Boston,70,30,,1,,,China,1,1,30,Couldn't pick ice cream cone.,1
R_4I1yzK4Z2iBqs1T,Default Response Set,Anonymous,,,215,0,11/14/13 11:20,11/14/13 11:22,1,after,unpacked,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,65,35,,1,,,Opera,60,40,1,,,,Oatmeal Raisin cookie,60,40,1,,,,Washington D.C.,60,40,1,,,,Japan,1,1,25,Thank you!,
R_0VUCBh8wMasu7uR,Default Response Set,Anonymous,,,289,0,11/14/13 11:22,11/14/13 11:24,1,after,packed,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,75,25,,,1,,NFL game,70,30,,,1,,Oatmeal Raisin cookie,70,30,,,1,,Washington D.C.,70,30,,,,1,Japan,1,1,25,,
R_24RkBu9x0DLhpMp,Default Response Set,Anonymous,,,79,0,11/14/13 11:21,11/14/13 11:24,1,before,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,70,30,,,1,,NFL game,60,40,,,,1,Vanilla Ice Cream Cone,60,40,,,,1,Boston,70,30,,,,1,France,1,2,27,Fun.,
R_a9Pl9YR1gv3AVzn,Default Response Set,Anonymous,,,10,0,11/14/13 11:22,11/14/13 11:25,1,after,unpacked,top,packed,packed,packed,1,1,4,7,,,,,,1,90,10,,,,1,NFL game,60,40,,,,1,Chocolate ice cream cone,40,60,,,,1,Seattle,70,30,,,1,,France,1,1,35,,
R_54uiM5Xbw5H8ZIV,Default Response Set,Anonymous,,,336,0,11/14/13 11:22,11/14/13 11:25,1,before,unpacked,bottom,packed,packed,packed,1,1,4,7,,,,,,1,75,25,,1,,,NFL,40,60,,1,,,chocolate ice cream cone,50,50,,1,,,Boston,80,20,1,,,,Italy,1,1,23,,
R_6XwJcdKQ5GdbPIV,Default Response Set,Anonymous,,,167,0,11/14/13 11:22,11/14/13 11:25,1,after,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,95,5,,,1,,NFL game,25,75,,,,1,Chocolate ice cream cone,75,25,,,,1,Portland,80,20,,,,1,Japan,1,1,28,,
R_5uRiSmxvSWKkqvX,Default Response Set,Anonymous,,,205,0,11/14/13 11:23,11/14/13 11:26,1,before,unpacked,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,65,35,,1,,,Musical,75,25,,1,,,Strawberry ice cream cone,55,45,1,,,,Seattle,75,25,1,,,,Japan,1,2,20,,
R_9p0ZjxNg4lRpPuJ,Default Response Set,Anonymous,,,341,0,11/14/13 11:22,11/14/13 11:26,1,after,packed,bottom,packed,packed,unpacked,1,1,4,7,,,,,,1,75,25,1,,,,Theater,15,85,,1,,,Strawberry Ice Cream Cone,45,55,,1,,,Washington D.C.,70,30,,1,,,Japan,1,2,20,,
R_251O0ANt3KA24qp,Default Response Set,Anonymous,,,95,0,11/14/13 11:24,11/14/13 11:26,1,after,packed,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,NFL game,70,30,,,1,,Chocolate Chip cookie,60,40,,,1,,Seattle,60,40,,,,1,Japan,1,1,25,,
R_87Ya52bko13unaZ,Default Response Set,Anonymous,,,273,0,11/14/13 11:22,11/14/13 11:27,1,before,packed,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,70,30,1,,,,MLB Game,50,50,1,,,,Chocolate Ice Cream Cone,40,60,1,,,,Washington D.C.,80,20,,1,,,Italy,1,2,28,,
R_6DUl6AUVZJRtZ6R,Default Response Set,Anonymous,,,239,0,11/14/13 11:23,11/14/13 11:27,1,after,packed,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,90,10,,,1,,NBA game,30,70,,,1,,Chocolate Chip cookie,65,35,,,,1,Washington D.C.,80,20,,,,1,Italy,1,1,24,,
R_eP9B38k9VFcH4JD,Default Response Set,Anonymous,,,80,0,11/14/13 11:26,11/14/13 11:28,1,before,unpacked,bottom,packed,packed,packed,1,1,4,7,,,,,,1,70,30,,1,,,Theater,50,50,,1,,,Vanilla ice cream cone,70,30,,1,,,San Francisco,80,20,1,,,,Italy,1,2,23,,
R_6SfzJEtJnpeKABf,Default Response Set,Anonymous,,,148,0,11/14/13 11:26,11/14/13 11:31,1,before,unpacked,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,45,55,1,,,,MLB game,65,35,1,,,,Oatmeal Raisin cookie,45,55,1,,,,Seattle,65,35,1,,,,France,1,2,21,,
R_eY7yktqxzAE4r2t,Default Response Set,Anonymous,,,328,0,11/14/13 11:27,11/14/13 11:31,1,before,unpacked,bottom,packed,unpacked,unpacked,1,1,4,7,,,,,,1,75,25,1,,,,NBA game,60,40,1,,,,Chocolate Chip Cookie,60,40,,1,,,San Francisco,70,30,1,,,,Italy,1,2,23,,
R_djtPlQk5Ba6FCVD,Default Response Set,Anonymous,,,230,0,11/14/13 11:25,11/14/13 11:33,1,after,packed,top,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,Theater,40,60,,,1,,Chocolate Chip cookie,55,45,,,1,,San Francisco,60,40,,,,1,Japan,1,2,57,This was a nice study survey,
R_aXVGfFknm4pGhJX,Default Response Set,Anonymous,,,307,0,11/14/13 11:32,11/14/13 11:33,1,after,unpacked,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,40,60,1,,,,nba game,50,50,1,,,,peanut butter cookie,50,50,1,,,,seattle,100,0,1,,,,italy,1,2,23,,
R_8HVR4lXCHUEhgBT,Default Response Set,Anonymous,,,129,0,11/14/13 11:24,11/14/13 11:34,1,before,unpacked,bottom,packed,packed,packed,1,1,4,7,,,,,,1,80,20,,1,,,MLB game,35,65,,1,,,Vanilla ice cream cone,60,40,,1,,,San Francisco,50,50,1,,,,Italy,1,1,42,,
R_3w3hCtArjxU33U1,Default Response Set,Anonymous,,,148,0,11/14/13 11:32,11/14/13 11:34,1,after,unpacked,top,packed,packed,packed,1,1,4,7,,,,,,1,46,54,,,,1,Theater,35,65,,,,1,Strawberry ice cream cone,45,55,,,,1,Boston,55,45,,,1,,France,1,1,26,gOOD STUDY! ,
R_cSW6Vwt5enOmiGx,Default Response Set,Anonymous,,,88,0,11/14/13 11:31,11/14/13 11:34,1,after,packed,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,0,100,,1,,,Musical,80,20,,1,,,Chocolate Chip,55,45,1,,,,San Francisco,40,60,,1,,,Japan,1,2,33,no,
R_3gSlWoKpMiNkwVD,Default Response Set,Anonymous,,,76,0,11/14/13 11:30,11/14/13 11:35,1,after,unpacked,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,80,20,,1,,,Theater,50,50,1,,,,Oatmeal Raisin Cookie,60,40,1,,,,San Francisco,95,5,1,,,,Japan,1,1,41,,
R_0H5GfveLqIYKFYF,Default Response Set,Anonymous,,,207,0,11/14/13 11:32,11/14/13 11:35,1,after,packed,bottom,packed,unpacked,unpacked,1,1,4,7,,,,,,1,70,30,1,,,,NFL game,80,20,1,,,,Vanilla,60,40,,1,,,San Francisco,70,30,,1,,,Japan,1,1,23,,
R_cAYi5WRjJbBhF9H,Default Response Set,Anonymous,,,181,0,11/14/13 11:32,11/14/13 11:35,1,before,unpacked,bottom,packed,unpacked,packed,1,1,4,7,,,,,,1,60,40,,1,,,theater,50,50,1,,,,vanilla ice cream cone,50,50,,1,,,washington d.c.,55,45,1,,,,japan,1,2,49,none,
R_6yaMBivuVk7JP2l,Default Response Set,Anonymous,,,327,0,11/14/13 11:33,11/14/13 11:35,1,before,packed,bottom,packed,packed,unpacked,1,1,4,7,,,,,,1,50,50,1,,,,NFL game,45,55,,1,,,Chocolate ice cream cone,60,40,,1,,,San Francisco,70,30,,1,,,Italy,1,2,26,Thank you!,
R_0UpIoXmXxZLsCyx,Default Response Set,Anonymous,,,50,0,11/14/13 11:34,11/14/13 11:35,1,after,packed,bottom,packed,packed,unpacked,1,1,4,7,,,,,,1,80,20,1,,,,nba game,35,65,,1,,,peanut butter cookie,60,40,,1,,,san francisco,80,20,,1,,,Italy,1,2,33,,
R_eQgOyjQry3PdcmV,Default Response Set,Anonymous,,,179,0,11/14/13 11:30,11/14/13 11:35,1,before,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,70,30,,,1,,NFL,40,60,,,,1,Strawberry ice cream cone,50,50,,,,1,San Francisco,70,30,,,,1,Japan,1,1,28,"I was unable to select cultural choice instead of sporting event, I see now that I was supposed to specify which type of cultural event. I would recommend making that choice a bit more distinct. ",1
R_eDxkrQrLG2C5nfL,Default Response Set,Anonymous,,,104,0,11/14/13 11:32,11/14/13 11:36,1,after,packed,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,90,10,,,1,,nba game,50,50,,,1,,chocolate chip cookie,80,20,,,,1,San Francisco,80,20,,,,1,japan,1,1,28,,
R_0U0AY6B4PDK8ygZ,Default Response Set,Anonymous,,,152,0,11/14/13 11:31,11/14/13 11:36,1,before,unpacked,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,65,35,,,1,,Theater,50,50,,,1,,Peanut Butter cookie,40,60,,,,1,Portland,70,30,,,1,,France,1,1,31,,
R_bDzKFjxKFc6mBFP,Default Response Set,Anonymous,,,21,0,11/14/13 11:34,11/14/13 11:36,1,before,unpacked,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,30,70,,,,1,Theater,90,10,,,1,,Chocolate Chip Cookie,40,60,,,1,,Portland,75,25,,,1,,Japan,1,2,18,,
R_7O4IojguVLDolMx,Default Response Set,Anonymous,,,159,0,11/14/13 11:33,11/14/13 11:36,1,after,unpacked,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,50,50,,,1,,Theater,40,60,,,1,,Vanilla,50,50,,,,1,Boston,60,40,,,1,,Italy,1,2,520,n/a,
R_aViOpBPJK9D0erj,Default Response Set,Anonymous,,,123,0,11/14/13 11:32,11/14/13 11:36,1,after,packed,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,90,10,,,1,,NFL game,50,50,,,,1,Oatmeal Raisin,50,50,,,1,,Washington D.C.,60,40,,,,1,China,1,1,31,Interesting!,
R_7PWeJLCcQeTD5iZ,Default Response Set,Anonymous,,,112,0,11/14/13 11:32,11/14/13 11:36,1,before,unpacked,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,70,30,,1,,,Theater,50,50,,1,,,Chocolate Chip Cookie,70,30,1,,,,Portland,65,35,1,,,,China,1,1,39,,
R_3rNTn0NlbsXh5lj,Default Response Set,Anonymous,,,27,0,11/14/13 11:34,11/14/13 11:37,1,after,unpacked,bottom,packed,packed,packed,1,1,4,7,,,,,,1,70,30,,1,,,Musical,30,70,,1,,,Chocolate chip cookie,36,64,,1,,,Portland,80,20,1,,,,Italy,1,1,21,,
R_0j6DKR3wW3wWcaV,Default Response Set,Anonymous,,,211,0,11/14/13 11:33,11/14/13 11:37,1,after,packed,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,65,35,,1,,,NFL,40,60,,1,,,Vanilla ice cream cone,50,50,1,,,,Seattle,85,15,,1,,,Germany,1,1,24,Great study. I've never done anything like this before. It was really interesting.,
R_cM7dyoSgyHDEhHD,Default Response Set,Anonymous,,,225,0,11/14/13 11:33,11/14/13 11:37,1,before,packed,bottom,unpacked,packed,packed,1,1,4,7,,,,,,1,55,45,,1,,,Theater,50,50,,1,,,Chocolate Chip,60,40,1,,,,Seattle,60,40,,1,,,Vietnam,1,1,35,,
R_bluPvlGwvspUpzT,Default Response Set,Anonymous,,,53,0,11/14/13 11:33,11/14/13 11:38,1,before,unpacked,top,packed,unpacked,unpacked,1,1,4,7,,,,,,1,85,15,,,1,,NFL game,25,75,,,1,,Chocolate Chip cookie,50,50,,,,1,Washington D.C.,90,10,,,1,,France,1,2,43,,
R_cGaeYLv4JDIpyKx,Default Response Set,Anonymous,,,295,0,11/14/13 11:35,11/14/13 11:38,1,before,packed,bottom,packed,unpacked,unpacked,1,1,4,7,,,,,,1,75,25,1,,,,NBA Game,50,50,1,,,,Chocolate Chip Cookie,50,50,,1,,,Portland,79,21,,1,,,France,1,1,25,,
R_7PxE1Pz1cSLGGl7,Default Response Set,Anonymous,,,26,0,11/14/13 11:35,11/14/13 11:38,1,after,unpacked,top,unpacked,packed,packed,1,1,4,7,,,,,,1,60,40,,,,1,NBA,35,65,,,,1,vanilla ice cream cone,40,60,,,1,,Boston,75,25,,,1,,France,1,1,24,none,
R_8G6Tf5N8Id2q8Xb,Default Response Set,Anonymous,,,43,0,11/14/13 11:35,11/14/13 11:38,1,after,unpacked,top,packed,unpacked,packed,1,1,4,7,,,,,,1,80,20,,,,1,Musical,70,30,,,1,,Strawberry,40,60,,,,1,San Francisco,45,55,,,1,,Japan,1,1,36,"No, thank you!",
R_8wFPLV5YqL3BwNv,Default Response Set,Anonymous,,,91,0,11/14/13 11:35,11/14/13 11:39,1,before,unpacked,top,unpacked,packed,unpacked,1,1,4,7,,,,,,1,70,30,,,1,,NBA game,50,50,,,,1,Vanilla ice cream cone,50,50,,,1,,Boston,75,25,,,1,,Japan,1,1,24,,
R_0lJuQ1fuweBMf7D,Default Response Set,Anonymous,,,82,0,11/14/13 11:33,11/14/13 11:39,1,after,unpacked,top,unpacked,unpacked,packed,1,1,4,7,,,,,,1,80,20,,,,1,opera,10,90,,,1,,Peanut Butter cookie,50,50,,,1,,boston,75,25,,,1,,japan,1,2,58,my answer on the first one is so at odds with the percentages I chose because I'm lactose intolerant. But barring that I think most people would choose an ice crean cone simply because there's more food.,
R_5d02A0RBG1kPuO9,Default Response Set,Anonymous,,,352,0,11/14/13 11:33,11/14/13 11:39,1,before,packed,bottom,unpacked,unpacked,unpacked,1,1,4,7,,,,,,1,90,10,1,,,,Theater,40,60,1,,,,Vanilla ice cream cone,80,20,1,,,,San Francisco,70,30,,1,,,France,1,1,57,,
R_bjU7w2CnbXNk537,Default Response Set,Anonymous,,,36,0,11/14/13 11:32,11/14/13 11:39,1,before,unpacked,top,unpacked,packed,packed,1,1,4,7,,,,,,1,90,10,,,,1,Theater,50,50,,,,1,chocolate ice cream cone,30,70,,,1,,Seattle,85,15,,,1,,France,1,2,46,"I had a hard time with getting the survey to recognize my choices when typing them.  My first choice for the event would have been a sporting event, but I couldn't get it to accept my response even when I cut and pasted it.  The last question about a weekend trip I would have chose Washington DC, again it wouldn't take my response.  Just letting you know.  Thanks!",1
R_eJXJG582EzVZred,Default Response Set,Anonymous,,,157,0,11/14/13 11:38,11/14/13 11:40,1,after,unpacked,bottom,packed,unpacked,unpacked,1,1,4,7,,,,,,1,80,20,1,,,,NFL game,40,60,1,,,,Chocolate Chip cookie,40,60,,1,,,Washington D.C.,70,30,1,,,,Italy,1,1,31,n/a,
R_bfRTHMLK4h6QvRP,Default Response Set,Anonymous,,,298,0,11/14/13 11:36,11/14/13 11:40,1,before,packed,top,packed,packed,unpacked,1,1,4,7,,,,,,1,80,20,,,1,,Musical,40,60,,,,1,Chocolate Chip Cookie,50,50,,,,1,Portland,75,25,,,,1,France,1,1,28,,
R_6tEoeJAXugVctLv,Default Response Set,Anonymous,,,63,0,11/14/13 11:38,11/14/13 11:41,1,after,unpacked,bottom,packed,packed,packed,1,1,4,7,,,,,,1,85,15,,1,,,Theater,40,60,,1,,,chocolate ice cream cone,40,60,,1,,,Portland,70,30,1,,,,Italy,1,1,27,,
R_6KVQz4Ahgrb375r,Default Response Set,Anonymous,,,222,0,11/14/13 11:37,11/14/13 11:41,1,before,packed,top,unpacked,packed,packed,1,1,4,7,,,,,,1,70,30,,,,1,Theater,30,70,,,,1,Strawberry Ice Cream Cone,40,60,,,1,,Philadelphia,20,80,,,,1,Japan,1,2,51,None.,
R_5jviuwPcI8ei0bH,Default Response Set,Anonymous,,,9,0,11/14/13 11:39,11/14/13 11:41,1,before,packed,bottom,unpacked,unpacked,packed,1,1,4,7,,,,,,1,70,30,,1,,,Theater,40,60,1,,,,Oatmeal Raisin cookie,90,10,1,,,,Seattle,80,20,,1,,,Japan,1,1,19,,
